;Paper;Name;Latitude;Longitude;Mean basin elevation (m);Basin Relief (m);Basin Area (km2);Mean Latutide (dec. Deg.);Mean Longitude (dec. Deg);Effective basin elevation (m);Mean Basin slope;Rock type;Mean annual precipitation (mm/yr);Mean annual Temperature (C);% Vegetation;Seismicity;Seismic regime;Climate zone main;Cronus erosion rate (m/My);Cronus erosion rate error (m/My)
171;Binnie et al., 2008;OGC;34,094;-116,94;2396;1727;2,86;34,109;-116,94;2443.0;33;Igneous;707.0;9.0;20.0;4,830041;Yes;Temperate;289,02;26,31
172;Binnie et al., 2008;WDC;34,184;-116,981;1922;925;2,74;34,196;-116,981;1939.0;29,2;Igneous;723.0;10.0;19.0;4,830041;Yes;Temperate;1321,4;194,17
173;Binnie et al., 2008;EDC;34,184;-116,981;2076;955;3,16;34,198;-116,981;2097.0;24,8;Igneous;697.0;9.0;31.0;4,830041;Yes;Temperate;714,6;83,89
174;Binnie et al., 2008;MC;34,18;-116,944;2076;897;3,33;34,196;-116,944;2095.0;21,8;Igneous;703.0;9.0;32.0;4,830041;Yes;Temperate;553,34;57,86
175;Binnie et al., 2008;BCT;34,208;-117,013;1964;924;3,19;34,214;-117,013;1976.0;27,7;Igneous;714.0;8.0;38.0;4,830041;Yes;Temperate;184,76;18,71
176;Binnie et al., 2008;EFKC;34,166;-117,049;1770;1315;4,55;34,186;-117,049;1809.0;27,7;Igneous;697.0;10.0;19.0;4,830041;Yes;Temperate;1642,09;308,22
177;Binnie et al., 2008;TBW;34,193;-116,932;2138;674;1,41;34,203;-116,932;2148.0;23,6;Igneous;684.0;8.0;54.0;4,830041;Yes;Temperate;245,23;21,6
178;Binnie et al., 2008;TBE;34,195;-116,928;2116;685;1,48;34,206;-116,928;2126.0;23,9;Igneous;661.0;8.0;55.0;4,830041;Yes;Temperate;299,01;27,19
179;Binnie et al., 2008;GCR;34,394;-117,055;1637;430;1,15;34,386;-117,055;1639.0;17,5;Igneous;685.0;10.0;5.0;3,970183;Yes;Temperate;111,56;10,48
180;Binnie et al., 2008;LLC;34,397;-117,076;1547;366;1,83;34,389;-117,076;1549.0;16,9;Igneous;682.0;11.0;5.0;3,970183;Yes;Temperate;96,28;9,33
181;Binnie et al., 2008;CP;34,279;-117,035;2172;793;2,67;34,263;-117,035;2181.0;19,4;Igneous;692.0;7.0;48.0;4,830041;Yes;Temperate;158,73;14,82
182;Binnie et al., 2008;CRG;34,278;-117,064;1917;573;8,25;34,298;-117,064;1922.0;12,4;Igneous;708.0;9.0;16.0;4,830041;Yes;Temperate;103,61;8,94
183;Binnie et al., 2008;CLG;34,279;-117,044;1975;631;8,82;34,296;-117,044;1979.0;8,6;Igneous;688.0;9.0;12.0;4,830041;Yes;Temperate;75,23;6,98
184;Binnie et al., 2008;GC;34,41;-117,063;1647;1045;1,15;34,382;-117,063;1663.0;15,6;Igneous;648.0;11.0;5.0;3,970183;Yes;Temperate;136,07;14,38
185;Binnie et al., 2008;ARC;34,376;-117,092;1744;496;7,87;34,364;-117,092;1746.0;8;Igneous;700.0;10.0;8.0;3,970183;Yes;Temperate;54,73;4,69
187;Chappell et al., 2006;2;29,78;116,245;1858;7066;1695910;30,256;105,677;2783.0;4,3;Mixed;1001.0;10.0;24.0;1,007919;No;Temperate;157,53;16,88
188;Chappell et al., 2006;3;28,262;115,846;303;2031;74441,8;26,499;115,041;324.0;2,5;Mixed;1569.0;18.0;22.0;0,0902;No;Temperate;30,92;4,05
189;Chappell et al., 2006;4;30,522;112,888;769;3456;144396;32,722;110,234;891.0;4,1;Mixed;891.0;13.0;34.0;0,783422;No;Temperate;67,14;6,08
190;Chappell et al., 2006;6;28,357;112,881;335;1990;99117,7;26,875;112,424;377.0;2,5;Mixed;1504.0;17.0;18.0;0,081798;No;Temperate;46,03;4,45
191;Chappell et al., 2006;7;29,047;111,552;608;2403;89992,3;27,686;109,498;645.0;3;Mixed;1335.0;15.0;20.0;0,091467;No;Temperate;44,86;4,55
192;Chappell et al., 2006;8;29,779;112,47;2707;7049;1058380;30,877;101,645;3406.0;5,5;Mixed;818.0;7.0;25.0;1,456021;No;Temperate;163,21;17,76
193;Chappell et al., 2006;10;29,876;106,403;1324;5224;145891;32,315;105,524;1682.0;5,3;Mixed;883.0;12.0;37.0;1,001826;No;Temperate;61,65;6,41
194;Chappell et al., 2006;11;29,361;106,423;3429;5883;730372;30,928;99,211;3922.0;5,9;Mixed;706.0;4.0;24.0;1,850397;No;Cold;75,11;6,86
195;Chappell et al., 2006;12;28,829;104,395;2867;6780;111826;30,855;102,263;3349.0;7,7;Mixed;965.0;6.0;35.0;1,572301;No;Cold;365,67;42,51
196;Chappell et al., 2006;13;29,623;103,755;607;2401;11008,6;30,376;103,678;639.0;1,3;Mixed;1253.0;16.0;8.0;2,274589;Yes;Temperate;116,24;12,01
197;Chappell et al., 2006;14;29,952;103,403;2030;4721;10868,4;30,153;102,789;2309.0;9,7;Mixed;1141.0;11.0;34.0;1,546752;No;Temperate;364,93;38,31
198;Chappell et al., 2006;15;30,377;103,846;717;2327;5390,47;30,518;103,462;767.0;1,9;Mixed;1281.0;15.0;10.0;2,027015;Yes;Temperate;103,45;15,72
199;Chappell et al., 2006;16;28,629;104,134;3991;6191;506490;31,255;97,353;4278.0;5,8;Mixed;584.0;1.0;21.0;1,982127;No;Polar;67,82;6,55
200;Chappell et al., 2006;17;26,509;101,87;4231;5481;446974;31,831;96,649;4425.0;5,6;Mixed;537.0;0.0;21.0;1,822924;No;Polar;95,08;11,53
201;Chappell et al., 2006;18;26,821;101,788;3955;5042;117485;30,65;100,147;4093.0;7,1;Mixed;728.0;2.0;33.0;2,741051;Yes;Cold;276,7;41,08
202;Chappell et al., 2006;19;26,596;101,552;4410;5446;316323;32,407;95,195;4576.0;4,9;Mixed;447.0;-2.0;16.0;1,399065;No;Polar;41,78;3,8
204;Clapp et al., 2000;NY4;29,58;34,93;247;125;0,46;29,583;34,939;248.0;8,3;Mixed;30.0;23.0;0.0;0,730348;No;Arid;34,28;3,52
205;Clapp et al., 2000;NY18;29,58;34,93;272;43;0,12;29,581;34,937;270.0;5,8;Metamorphic;30.0;22.0;0.0;0,730348;No;Arid;33,79;2,95
206;Clapp et al., 2000;NY19;29,58;34,93;257;76;0,23;29,582;34,937;257.0;6,9;Metamorphic;30.0;23.0;0.0;0,730348;No;Arid;37,17;3,28
207;Clapp et al., 2000;NY20;29,58;34,93;244;136;0,48;29,583;34,94;244.0;8,4;Mixed;30.0;23.0;0.0;0,730348;No;Arid;36,94;2,84
209;Clapp et al., 2001;ECAC;35,669;-107,09;2004;43;0,31;35,705;-107,11;2005.0;5,3;Sedimentary;289.0;9.0;5.0;0,598648;No;Cold;79,39;7,2
210;Clapp et al., 2001;ECAC9;35,693;-107,1;1992;71;0,93;35,704;-107,106;1992.0;5,3;Sedimentary;289.0;9.0;5.0;0,598648;No;Cold;102,04;8,79
211;Clapp et al., 2001;ECAC10;35,699;-107,101;1978;90;2,26;35,7;-107,107;1980.0;4,7;Sedimentary;283.0;10.0;5.0;0,598648;No;Cold;68,53;5,98
212;Clapp et al., 2001;ECAC11;35,704;-107,107;1949;133;8,21;35,686;-107,099;1951.0;4,2;Sedimentary;279.0;10.0;5.0;0,598648;No;Cold;113,54;16,41
214;Clapp et al., 2002, samples named YPG then...;2;33,04;-114,522;281;756;186,71;33,16;-114,52;284.0;6,2;Igneous;105.0;22.0;5.0;0,756563;No;Arid;43,01;5,1
215;Clapp et al., 2002, samples named YPG then...;3A;33,098;-114,534;250;338;28,74;33,136;-114,557;253.0;7;Igneous;99.0;22.0;5.0;0,756563;No;Arid;40,99;3,71
216;Clapp et al., 2002, samples named YPG then...;4;33,089;-114,531;348;475;40,38;33,126;-114,559;240.0;6,4;Igneous;97.0;22.0;5.0;0,756563;No;Arid;38;4,26
217;Clapp et al., 2002, samples named YPG then...;5A;33,089;-114,524;319;693;120,08;33,191;-114,502;322.0;6,1;Igneous;110.0;21.0;5.0;0,756563;No;Arid;36,16;3,15
218;Clapp et al., 2002, samples named YPG then...;11;33,076;-114,572;264;116;0,96;33,074;-114,58;264.0;6,6;Igneous;98.0;22.0;5.0;0,756563;No;Arid;29,18;2,42
219;Clapp et al., 2002, samples named YPG then...;12;33,076;-114,572;255;97;0,48;33,071;-114,573;253.0;6,2;Igneous;96.0;22.0;5.0;0,756563;No;Arid;34,55;3,19
220;Clapp et al., 2002, samples named YPG then...;13;33,077;-114,57;123;331;2,18;33,076;-114,577;256.0;6,3;Igneous;97.0;22.0;5.0;0,756563;No;Arid;29,9;2,84
221;Clapp et al., 2002, samples named YPG then...;14;33,086;-114,558;246;155;3,54;33,078;-114,573;247.0;6,9;Igneous;97.0;22.0;5.0;0,756563;No;Arid;38,11;3,22
222;Clapp et al., 2002, samples named YPG then...;15;33,082;-114,535;227;203;4,59;33,079;-114,568;229.0;6,1;Igneous;96.0;22.0;4.0;0,756563;No;Arid;37,16;3,45
223;Clapp et al., 2002, samples named YPG then...;16A;33,107;-114,524;254;281;7,23;33,139;-114,529;258.0;8,4;Igneous;103.0;22.0;5.0;0,756563;No;Arid;58,23;5,27
224;Clapp et al., 2002, samples named YPG then...;17A;33,117;-114,505;336;645;102,62;33,203;-114,499;340.0;6;Igneous;112.0;21.0;5.0;0,756563;No;Arid;31,83;2,51
225;Clapp et al., 2002, samples named YPG then...;18A;33,146;-114,499;307;340;29,08;33,191;-114,476;308.0;3,9;Igneous;110.0;22.0;5.0;0,756563;No;Arid;30,78;2,39
226;Clapp et al., 2002, samples named YPG then...;19;33,155;-114,516;375;595;59,52;33,222;-114,509;378.0;7,4;Igneous;116.0;21.0;5.0;0,756563;No;Arid;27,09;2,3
227;Clapp et al., 2002, samples named YPG then...;20A;33,163;-114,522;303;210;3,65;33,175;-114,538;304.0;6,8;Igneous;105.0;22.0;5.0;0,756563;No;Arid;24,57;2,23
228;Clapp et al., 2002, samples named YPG then...;21A;33,177;-114,517;567;817;34,6;33,236;-114,512;401.0;7,8;Igneous;120.0;21.0;5.0;0,756563;No;Arid;22,66;1,78
229;Clapp et al., 2002, samples named YPG then...;22A;33,17;-114,52;305;150;3,81;33,184;-114,532;309.0;5,4;Igneous;107.0;21.0;5.0;0,756563;No;Arid;31,5;3,7
230;Clapp et al., 2002, samples named YPG then...;27;33,169;-114,514;378;459;15,21;33,222;-114,489;383.0;8;Igneous;117.0;21.0;5.0;0,756563;No;Arid;30,27;2,63
231;Clapp et al., 2002, samples named YPG then...;28;33,207;-114,519;439;518;22,37;33,252;-114,511;440.0;9,2;Igneous;125.0;21.0;5.0;0,756563;No;Arid;23,55;1,95
233;Cox et al., 2009, Madagascar;2004-6A;-19,005;47,125;1636;1273;208,64;-19,15;47,186;1654.0;8,4;Metamorphic;1436.0;16.0;5.0;0,363;No;Temperate;11,81;0,97
234;Cox et al., 2009, Madagascar;2004-9A;-18,95;47,526;1453;556;1585,92;-19,118;47,748;1456.0;8,5;Metamorphic;1392.0;16.0;14.0;0,363;No;Temperate;5,79;0,49
235;Cox et al., 2009, Madagascar;2004-2A;-18,945;46,823;1328;638;133,54;-18,95;46,897;1329.0;8,7;Metamorphic;1528.0;18.0;6.0;0,363;No;Temperate;15,97;1,31
236;Cox et al., 2009, Madagascar;2005-3B;-17,55;48,208;880;69;0,55;-17,534;48,208;880.0;6,2;Metamorphic;1134.0;20.0;5.0;0,363;No;Tropical;10,59;0,85
237;Cox et al., 2009, Madagascar;2005-3C;-17,55;48,208;867;122;5,25;-17,543;48,203;867.0;7,3;Metamorphic;1135.0;20.0;5.0;0,363;No;Tropical;12,95;1,02
238;Cox et al., 2009, Madagascar;2005-6;-17,565;48,264;855;125;2,11;-17,537;48,272;854.0;8,3;Metamorphic;1121.0;20.0;7.0;0,363;No;Tropical;9,87;0,78
239;Cox et al., 2009, Madagascar;2005-7;-17,628;48,204;884;340;57,5;-17,591;48,158;885.0;8,6;Metamorphic;1150.0;21.0;5.0;0,363;No;Tropical;22,27;1,64
241;Cyr and Granger, 20008;1;44;12;724;578;10,17;44,131;11,52;730.0;18,8;Sedimentary;963.0;9.0;62.0;1,517782;No;Temperate;353,67;44,77
242;Cyr and Granger, 20008;2;44;12;712;745;52,15;44,104;11,52;719.0;18,1;Sedimentary;951.0;10.0;67.0;1,517782;No;Temperate;397,13;70,85
243;Cyr and Granger, 20008;3;44;12;592;1001;134,85;44,147;11,556;602.0;17,7;Sedimentary;905.0;10.0;58.0;1,517782;No;Temperate;340,68;35,31
244;Cyr and Granger, 20008;4;44;12;592;1001;134,86;44,147;11,556;602.0;17,7;Sedimentary;905.0;10.0;58.0;1,517782;No;Temperate;543,03;105,25
245;Cyr and Granger, 20008;5;44;12;753;896;93,96;44,035;11,569;763.0;19,2;Sedimentary;942.0;9.0;76.0;1,517782;No;Temperate;342,75;28,54
246;Cyr and Granger, 20008;6;44;12;616;1064;187,44;44,075;11,612;633.0;18,1;Sedimentary;901.0;10.0;63.0;1,517782;No;Temperate;347,18;28,31
247;Cyr and Granger, 20008;7;44;12;788;935;89,11;43,988;11,687;799.0;19;Sedimentary;919.0;9.0;76.0;1,517782;No;Temperate;398,25;68,24
248;Cyr and Granger, 20008;8;44;12;585;1105;193,04;44,035;11,768;606.0;16,8;Sedimentary;860.0;10.0;51.0;1,517782;No;Temperate;659,56;112,81
250;Cyr et al., 2010, Italy;1;37,967;15,381;594;1162;26,23;38,005;15,329;616.0;21,7;Mixed;715.0;14.0;50.0;0,964811;No;Temperate;1059,23;98,26
251;Cyr et al., 2010, Italy;2;38,003;15,405;667;1200;49,09;38,044;15,367;688.0;22,6;Mixed;729.0;14.0;49.0;0,964811;No;Temperate;1554,14;448,43
252;Cyr et al., 2010, Italy;3;37,943;15,758;564;918;25,98;37,995;15,761;578.0;16,3;Mixed;796.0;14.0;26.0;1,228337;No;Temperate;2189,54;274,05
253;Cyr et al., 2010, Italy;4;37,948;15,962;545;1208;20,39;37,989;15,952;580.0;19,2;Mixed;813.0;15.0;34.0;1,228337;No;Temperate;1495,22;298,35
254;Cyr et al., 2010, Italy;5;38,005;16,084;433;1146;40,95;38,025;16,036;456.0;16,3;Mixed;824.0;15.0;46.0;1,228337;No;Temperate;720,27;63,94
256;Delunel et al., 2010;Rd01;45,053;5,844;2079;3265;1072,05;45,046;6,156;2194.0;28,4;Mixed;1458.0;2.0;26.0;0,672607;No;Cold;446,13;86,6
257;Delunel et al., 2010;Rd02;45,015;6,062;2368;2907;299,93;44,939;6,208;2451.0;32,7;Mixed;1554.0;0.0;18.0;0,693729;No;Cold;807,35;159,31
258;Delunel et al., 2010;Rd03;45,038;6,192;2402;2532;219,43;45,038;6,307;2461.0;26;Mixed;1584.0;0.0;12.0;0,693729;No;Cold;1190,44;234,17
259;Delunel et al., 2010;Rd04;44,987;6,481;2491;1942;22,98;44,973;6,435;2524.0;27,6;Mixed;1627.0;0.0;25.0;0,693729;No;Cold;1319,85;302,08
260;Delunel et al., 2010;Rd05;44,893;6,445;2767;2418;44,18;44,921;6,402;2824.0;30,4;Mixed;1747.0;-2.0;6.0;0,693729;No;Cold;1128,09;242,69
261;Delunel et al., 2010;Rd06;44,881;6,442;2687;2268;26,37;44,874;6,395;2744.0;30,7;Mixed;1694.0;-1.0;19.0;0,693729;No;Cold;1211,92;234,43
262;Delunel et al., 2010;Rd07;44,87;6,485;2530;2707;112,45;44,903;6,427;2606.0;29,8;Mixed;1629.0;-1.0;13.0;0,693729;No;Cold;1527,4;296,13
263;Delunel et al., 2010;Rd08;44,949;5,868;1738;1876;69,04;44,991;5,896;1797.0;31;Mixed;1300.0;3.0;48.0;0,620165;No;Cold;347,47;68,11
264;Delunel et al., 2010;Rd09;44,891;5,887;1801;2689;250,79;44,908;6,022;1892.0;30,8;Mixed;1311.0;3.0;40.0;0,693729;No;Cold;280,86;60,27
265;Delunel et al., 2010;Rd10;44,881;5,985;1996;2461;128,16;44,882;6,077;2071.0;31,4;Mixed;1388.0;2.0;30.0;0,693729;No;Cold;388,06;85,87
266;Delunel et al., 2010;Mb130;44,799;5,959;1765;2714;794,48;44,732;6,181;1859.0;24,7;Mixed;1232.0;4.0;35.0;0,693729;No;Cold;623,86;129,79
267;Delunel et al., 2010;Mb146;44,787;6,069;2024;2576;190,38;44,814;6,2;2102.0;31,8;Mixed;1356.0;2.0;29.0;0,693729;No;Cold;658,99;133,79
269;DiBiase et al., 2009;SGB1;34,304;-118,156;1402;1436;174,7;34,331;-118,08;1422.0;22,2;Mixed;621.0;12.0;23.0;2,569405;Yes;Temperate;121,88;26,9
270;DiBiase et al., 2009;SGB2;34,304;-118,108;1449;1198;101,91;34,32;-118,05;1468.0;20,2;Mixed;659.0;12.0;25.0;2,587636;Yes;Temperate;132,95;36,89
271;DiBiase et al., 2009;SGB3;34,31;-118,121;1439;1242;106,52;34,319;-118,053;1458.0;20,4;Mixed;657.0;12.0;26.0;2,587636;Yes;Temperate;93,62;15,44
272;DiBiase et al., 2009;SGB4;34,276;-118,026;1519;486;5,68;34,286;-118,009;1523.0;19,7;Igneous;737.0;11.0;43.0;2,756818;Yes;Temperate;37,41;9,71
273;DiBiase et al., 2009;SGB5;34,328;-118,12;1353;814;10,18;34,358;-118,129;1365.0;23,1;Mixed;537.0;13.0;17.0;2,466583;Yes;Temperate;153,43;32,58
274;DiBiase et al., 2009;SGB6;34,327;-118,25;1260;902;11,08;34,337;-118,24;1271.0;29,5;Mixed;516.0;13.0;36.0;2,587636;Yes;Temperate;281,97;147,58
275;DiBiase et al., 2009;SGB7;34,296;-118,148;1318;763;3,09;34,29;-118,142;1327.0;31,9;Igneous;627.0;12.0;50.0;2,587636;Yes;Temperate;293,38;53,07
276;DiBiase et al., 2009;SGB9;34,301;-118,255;1140;1194;17,34;34,331;-118,246;1161.0;29,8;Mixed;508.0;14.0;33.0;2,587636;Yes;Temperate;510,45;38,74
277;DiBiase et al., 2009;SGB10;34,28;-118,196;1108;1047;7,5;34,277;-118,169;1120.0;28,3;Mixed;518.0;13.0;45.0;2,587636;Yes;Temperate;337,33;25,13
278;DiBiase et al., 2009;SGB11;34,295;-117,739;1952;2129;82,85;34,33;-117,704;1997.0;31,9;Metamorphic;764.0;9.0;37.0;2,925999;Yes;Temperate;853,69;72,66
279;DiBiase et al., 2009;SGB12;34,24;-117,761;1801;2467;148,98;34,316;-117,732;1871.0;32,5;Mixed;741.0;10.0;38.0;2,925999;Yes;Temperate;1063,98;97,13
280;DiBiase et al., 2009;SGB13;34,295;-117,742;1960;1925;35,03;34,325;-117,779;2003.0;32,9;Metamorphic;776.0;9.0;37.0;2,925999;Yes;Temperate;448,71;43,8
281;DiBiase et al., 2009;SG116;34,278;-118,021;1530;472;4,32;34,286;-118,006;1533.0;19,9;Igneous;749.0;11.0;50.0;2,925999;Yes;Temperate;355,33;41,69
282;DiBiase et al., 2009;SG118;34,276;-118,026;1472;336;0,31;34,273;-118,025;1474.0;23,2;Igneous;726.0;11.0;26.0;2,587636;Yes;Temperate;3658,42;1006,73
283;DiBiase et al., 2009;SG123;34,35;-118,049;1732;835;3,19;34,369;-118,039;1744.0;26,2;Igneous;679.0;11.0;32.0;2,34553;Yes;Temperate;114,85;9,59
284;DiBiase et al., 2009;SG124;34,337;-118,048;1543;679;1,7;34,349;-118,059;1552.0;24,5;Igneous;632.0;12.0;11.0;2,587636;Yes;Temperate;184,46;16,86
285;DiBiase et al., 2009;SG125;34,21;-118,08;1333;880;1,98;34,217;-118,07;1346.0;31,1;Mixed;617.0;13.0;49.0;2,587636;Yes;Temperate;538;57,44
286;DiBiase et al., 2009;SG126;34,217;-118,083;1359;803;2,31;34,226;-118,078;1373.0;33,9;Mixed;587.0;13.0;53.0;2,587636;Yes;Temperate;682,51;66,55
287;DiBiase et al., 2009;SG127;34,217;-118,085;1347;925;2,6;34,231;-118,092;1359.0;35,8;Mixed;593.0;13.0;50.0;2,587636;Yes;Temperate;854,9;93,25
288;DiBiase et al., 2009;SG128;34,336;-118,01;1739;334;7,38;34,339;-118,002;1741.0;13,5;Igneous;794.0;10.0;19.0;2,756818;Yes;Temperate;41,73;4,69
289;DiBiase et al., 2009;SG129;34,339;-118,011;1761;302;0,43;34,338;-118,016;1763.0;15;Igneous;805.0;10.0;10.0;2,587636;Yes;Temperate;49,85;15,07
290;DiBiase et al., 2009;SG130;34,379;-117,99;1720;257;0,72;34,385;-117,992;1721.0;18,9;Igneous;746.0;10.0;11.0;2,829668;Yes;Temperate;76,01;7,46
291;DiBiase et al., 2009;SG131;34,364;-117,992;1739;249;2,31;34,356;-117,997;1740.0;12,3;Igneous;796.0;10.0;16.0;2,877834;Yes;Temperate;104,11;15,14
292;DiBiase et al., 2009;SG132;34,364;-117,99;1730;250;1,13;34,358;-117,987;1731.0;14,5;Igneous;804.0;10.0;18.0;2,877834;Yes;Temperate;112,95;9,79
293;DiBiase et al., 2009;SG136;34,327;-117,788;2259;237;0,14;34,329;-117,791;2260.0;23,3;Metamorphic;789.0;7.0;44.0;2,925999;Yes;Temperate;140,85;12,15
294;DiBiase et al., 2009;SG137;34,271;-117,889;1526;1863;47,02;34,321;-117,883;1569.0;31,8;Mixed;694.0;11.0;42.0;2,925999;Yes;Temperate;657,28;76,75
295;DiBiase et al., 2009;SG138;34,27;-117,891;1383;1702;17,94;34,292;-117,923;1425.0;32,6;Mixed;648.0;13.0;40.0;2,925999;Yes;Temperate;487,31;80,81
296;DiBiase et al., 2009;SG140;34,241;-117,95;1073;1027;7,67;34,264;-117,949;1089.0;27,5;Mixed;564.0;14.0;31.0;2,925999;Yes;Temperate;228,92;20,78
297;DiBiase et al., 2009;SG141;34,252;-117,973;1522;1703;43,47;34,304;-117,97;1560.0;27,9;Mixed;691.0;11.0;28.0;2,925999;Yes;Temperate;321,59;33,83
298;DiBiase et al., 2009;SG150;34,281;-118,027;1511;438;0,8;34,289;-118,027;1515.0;22,4;Igneous;661.0;12.0;19.0;2,587636;Yes;Temperate;401,25;51,94
299;DiBiase et al., 2009;SG151;34,319;-117,799;2282;839;3,65;34,329;-117,806;2290.0;28,9;Metamorphic;791.0;7.0;29.0;2,925999;Yes;Temperate;428,09;142,1
300;DiBiase et al., 2009;SG152;34,321;-117,801;2317;746;2,62;34,332;-117,805;2324.0;29,1;Metamorphic;798.0;7.0;35.0;2,925999;Yes;Temperate;74,85;6,72
301;DiBiase et al., 2009;SG157;34,304;-117,73;2019;2045;25,49;34,307;-117,685;2070.0;33,1;Metamorphic;782.0;8.0;27.0;2,925999;Yes;Temperate;1129,5;175,02
302;DiBiase et al., 2009;SG158;34,304;-117,732;1950;1924;53,26;34,344;-117,711;1986.0;30,9;Metamorphic;758.0;9.0;41.0;2,925999;Yes;Temperate;1077,39;151,48
303;DiBiase et al., 2009;SG159;34,294;-117,741;1954;2137;117,93;34,328;-117,726;1998.0;32,2;Metamorphic;768.0;9.0;37.0;2,925999;Yes;Temperate;737,79;90
304;DiBiase et al., 2009;SG161;34,301;-117,761;1955;1533;11,57;34,315;-117,794;1984.0;33,4;Metamorphic;805.0;9.0;37.0;2,925999;Yes;Temperate;1044,44;167,58
305;DiBiase et al., 2009;SG162;34,163;-117,635;1570;2036;28,04;34,201;-117,621;1643.0;32,1;Mixed;762.0;12.0;34.0;2,925999;Yes;Temperate;304,06;47,76
306;DiBiase et al., 2009;SG163;34,163;-117,365;553;285;3,22;34,197;-117,382;554.0;1,7;Metamorphic;458.0;17.0;6.0;4,830041;Yes;Temperate;125,81;11,58
307;DiBiase et al., 2009;SG204;34,359;-117,991;1704;69;0,09;34,359;-117,991;1704.0;9;Igneous;768.0;10.0;5.0;2,829668;Yes;Temperate;668,69;104,15
308;DiBiase et al., 2009;SG205;34,36;-117,991;1693;92;0,14;34,36;-117,992;1693.0;9,2;Igneous;770.0;10.0;5.0;2,829668;Yes;Temperate;116,91;11,32
309;DiBiase et al., 2009;SG206;34,23;-117,791;862;614;5,41;34,215;-117,797;867.0;27,7;Mixed;610.0;15.0;51.0;2,925999;Yes;Temperate;355,4;111,13
310;DiBiase et al., 2009;SG207;34,239;-117,806;1006;1283;7,89;34,255;-117,794;1034.0;30,5;Mixed;579.0;15.0;38.0;2,925999;Yes;Temperate;314,18;38,29
311;DiBiase et al., 2009;SG0701;34,363;-117,992;1680;118;0,19;34,361;-117,992;1680.0;8,8;Igneous;769.0;10.0;5.0;2,829668;Yes;Temperate;127,76;10,66
312;DiBiase et al., 2009;SG0702;34,38;-118,028;2072;222;0,35;34,381;-118,03;2072.0;18,5;Igneous;790.0;8.0;36.0;2,34553;Yes;Temperate;77,14;6,92
313;DiBiase et al., 2009;SG0703;34,307;-118,102;1348;880;9,89;34,286;-118,098;1359.0;25,8;Mixed;654.0;12.0;46.0;2,587636;Yes;Temperate;699,42;66,45
314;DiBiase et al., 2009;SG0728;34,36;-117,9;2088;738;9,05;34,35;-117,919;2094.0;22,4;Igneous;796.0;8.0;37.0;2,925999;Yes;Temperate;118,85;10,97
315;DiBiase et al., 2009;SG0729;34,358;-117,904;2127;682;5,31;34,346;-117,917;2133.0;21,5;Igneous;800.0;7.0;34.0;2,925999;Yes;Temperate;86,48;7,75
316;DiBiase et al., 2009;SG0730;33,493;-118,152;1177;921;5,75;34,328;-118,164;1187.0;25,8;Mixed;492.0;13.0;20.0;2,587636;Yes;Temperate;688,86;172,63
317;DiBiase et al., 2009;SG0740;34,32;-117,966;1912;926;2,09;34,334;-117,963;1922.0;23,2;Igneous;784.0;10.0;5.0;2,925999;Yes;Temperate;152,28;13,85
318;DiBiase et al., 2009;SG0743;34,303;-117,981;1726;1288;21,97;34,323;-117,968;1753.0;25,4;Igneous;741.0;10.0;16.0;2,925999;Yes;Temperate;255,87;25,2
320;Duxbury, 2008;SH-01;38,571;-78,287;703;955;39,49;38,589;-78,287;717.0;16,8;Igneous;1144.0;9.0;80.0;0,2428;No;Temperate;36,12;2,83
321;Duxbury, 2008;SH-02;38,664;-78,356;618;451;2,81;38,665;-78,356;607.0;11,9;Metamorphic;1084.0;10.0;74.0;0,2428;No;Temperate;9,06;0,75
322;Duxbury, 2008;SH-03;38,362;-78,654;498;502;9,43;38,341;-78,654;502.0;15,4;Metamorphic;1060.0;11.0;71.0;0,246891;No;Temperate;7,03;1,15
323;Duxbury, 2008;SH-04;38,199;-78,794;651;587;12,71;38,201;-78,794;656.0;21,3;Sedimentary;1111.0;10.0;74.0;0,226691;No;Temperate;4,58;0,79
324;Duxbury, 2008;SH-05;65,678;-75,888;899;287;1,52;38,759;-75,888;819.0;8,2;Metamorphic;1172.0;8.0;80.0;0,2428;No;Temperate;3,82;0,33
325;Duxbury, 2008;SH-06;38,676;-78,383;448;355;1,47;38,685;-78,383;452.0;18;Sedimentary;1022.0;11.0;74.0;0,2428;No;Temperate;6,03;0,49
326;Duxbury, 2008;SH-07;38,582;-78,414;847;748;6,4;38,571;-78,414;831.0;21;Igneous;1154.0;9.0;79.0;0,2428;No;Temperate;13,1;1,02
327;Duxbury, 2008;SH-08;38,634;-78,392;717;846;4,58;38,611;-78,392;732.0;18;Igneous;1134.0;9.0;78.0;0,2428;No;Temperate;19,54;1,46
328;Duxbury, 2008;SH-09;38,697;-78,322;778;128;0,06;38,699;-78,322;804.0;14,4;Metamorphic;1129.0;9.0;80.0;0,2428;No;Temperate;6,98;0,58
329;Duxbury, 2008;SH-10;38,657;-78,282;651;729;14,09;38,659;-78,282;659.0;16,7;Igneous;1115.0;9.0;80.0;0,2428;No;Temperate;16,58;1,26
330;Duxbury, 2008;SH-11;38,653;-78,245;558;820;24,31;38,657;-78,245;569.0;16,2;Igneous;1094.0;10.0;80.0;0,2428;No;Temperate;15,63;1,19
